"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2017","Filter Expenses by Category","chromium","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","10737","Add Valid Expense","webkit","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","4352","AI insights identify top spending categories","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Financial Insights","ai-insights.spec.ts","",""
"","2048","Add Valid Income Entry","chromium","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","2674","AI categorization works in Español","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","10497","Create Complete Invoice","webkit","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","2497","Switch language to Português and verify UI updates","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","3524","Create Invoice with Auto-Generated Number","firefox","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","24202","Filter Summary by Time Period","webkit","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","2210","Dashboard with Complete Data Verification","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","0","Filter Invoices by Status","webkit","2026-01-02","skipped","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","2957","Add Valid Income Entry","firefox","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","669","seed","firefox","2026-01-02","passed","2026-01-02","Test group","seed.spec.ts","",""
"","2","Delete Income Entry","firefox","2026-01-02","skipped","2026-01-02","Income Management","incomes.spec.ts","",""
"","16907","Verify Category Breakdowns","webkit","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","2604","Verify Invoices by Status Breakdown","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","3041","Filter Summary by Time Period","firefox","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","5401","Verify Invoices by Status Breakdown","webkit","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","13150","Add Valid Income Entry","webkit","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","2790","Create Complete Invoice","chromium","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","14932","Add Recurring Income","webkit","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","3140","Language persists across page navigation","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","3862","Create Complete Invoice","firefox","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","2418","Verify Category Breakdowns","firefox","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","349","seed","chromium","2026-01-02","passed","2026-01-02","Test group","seed.spec.ts","",""
"","9555","Delete Invoice","webkit","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","4792","Collapse and expand AI insights","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Financial Insights","ai-insights.spec.ts","",""
"","5364","Verify Expenses by Category Visualization","webkit","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","1941","View Dashboard with Data","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","3646","AI insights provide personalized recommendations","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Financial Insights","ai-insights.spec.ts","",""
"","3445","AI categorization works in Português","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","2384","Switch language to Español and verify UI updates","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","1908","Filter Summary by Time Period","chromium","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","1293","Verify Expenses by Category Visualization","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","3265","Filter Income by Category","chromium","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","4151","Add Valid Expense","chromium","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","910","Dashboard with Complete Data Verification","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","2822","Parse coffee purchase with time reference: ""Coffee at Starbucks $6.50 this morning""","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Natural Language Expense Parsing","ai-natural-language.spec.ts","",""
"","19108","Verify Recent Activity Updates","webkit","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","3122","Create Invoice with Auto-Generated Number","chromium","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","4471","Dashboard with Complete Data Verification","webkit","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","4059","Verify Net Income Calculation","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","2857","Add Recurring Income","chromium","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","3657","AI categorization works in Français","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","0","Filter Invoices by Status","firefox","2026-01-02","skipped","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","3324","Edit Existing Invoice","chromium","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","2376","Switch language to Français and verify UI updates","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","5075","Edit Income Entry","firefox","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","2760","Filter Expenses by Category","firefox","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","1331","Verify Category Breakdowns","chromium","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","12140","Edit Income Entry","webkit","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","6328","Filter Expenses by Category","webkit","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","1759","Verify Net Income Calculation","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","4124","Refresh AI insights functionality","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Financial Insights","ai-insights.spec.ts","",""
"","2476","Delete Expense","chromium","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","0","Delete Income Entry","webkit","2026-01-02","skipped","2026-01-02","Income Management","incomes.spec.ts","",""
"","3210","Delete Invoice","chromium","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","7448","Delete Expense","webkit","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","1","Delete Income Entry","chromium","2026-01-02","skipped","2026-01-02","Income Management","incomes.spec.ts","",""
"","8852","Edit Existing Expense","firefox","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","1550","View Complete Summary","chromium","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","6698","Verify Net Income Calculation","webkit","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","4393","Edit Existing Invoice","firefox","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","19785","Filter Income by Category","webkit","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","4985","Add Valid Expense","firefox","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","7275","Edit Existing Expense","chromium","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","14014","Edit Existing Invoice","webkit","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","3575","Display AI-generated financial insights on Summary page","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Financial Insights","ai-insights.spec.ts","",""
"","3985","Add Recurring Income","firefox","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","4755","AI insights are generated in Spanish","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Multilanguage Support","ai-multilanguage.spec.ts","",""
"","9525","Verify Recent Activity Updates","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","1899","Verify Expenses by Category Visualization","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","2530","Parse transportation expense: ""Uber ride to airport for $32""","ai-tests","2026-01-02","passed","2026-01-02","AI Features > Natural Language Expense Parsing","ai-natural-language.spec.ts","",""
"","3505","Edit Income Entry","chromium","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","3570","View Dashboard with Data","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","5738","Filter Income by Category","firefox","2026-01-02","passed","2026-01-02","Income Management","incomes.spec.ts","",""
"","10629","View Dashboard with Data","webkit","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","2715","AI categorizes food-related expenses to ""Food & Dining""","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Expense Categorization","ai-categorization.spec.ts","",""
"","6083","Verify Recent Activity Updates","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","2236","Filter Dashboard by Time Periods","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","1887","View Complete Summary","firefox","2026-01-02","passed","2026-01-02","Summary Page Functionality","summary.spec.ts","",""
"","1478","AI categorization works with vague descriptions","ai-tests","2026-01-02","passed","2026-01-02","AI Features > AI Expense Categorization","ai-categorization.spec.ts","",""
"","4844","Create Account and Save Auth State","setup","2026-01-02","passed","2026-01-02","User Registration and Authentication","auth.setup.ts","",""
"","3454","Delete Expense","firefox","2026-01-02","passed","2026-01-02","Expense Management","expenses.spec.ts","",""
"","4125","Delete Invoice","firefox","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","1143","Verify Invoices by Status Breakdown","chromium","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
"","1361","seed","webkit","2026-01-02","passed","2026-01-02","Test group","seed.spec.ts","",""
"","9777","Create Invoice with Auto-Generated Number","webkit","2026-01-02","passed","2026-01-02","Invoice Management","invoices.spec.ts","",""
"","4747","Filter Dashboard by Time Periods","firefox","2026-01-02","passed","2026-01-02","Dashboard Functionality","dashboard.spec.ts","",""
